                ****************************************
                                VPA-2BOX                
                BOOTSTRAP ESTIMATES OF BIAS AND VARIANCE
                ****************************************


BFT East 55-06 test                               
12:14, 16 September 2010


 *************************************************
 BIAS AND STANDARD ERROR ESTIMATES
 *************************************************


TABLE 1A. BIAS OF FISHING MORTALITY RATE FOR EAST OF 45                                        
=============================================================================
        1      2      3      4      5      6      7      8      9     10
-----------------------------------------------------------------------------
  1996  0.997E-03  0.257E-02  0.335E-02  0.206E-02  0.133E-02  0.544E-03  0.913E-03  0.691E-03  0.171E-02  0.205E-02
  1997  0.837E-03  0.231E-02  0.167E-02  0.238E-02  0.146E-02  0.172E-02  0.828E-03  0.213E-02  0.210E-02  0.252E-02
  1998  0.312E-02  0.476E-02  0.463E-02  0.350E-02  0.255E-02  0.475E-02  0.632E-03  0.500E-03  0.168E-02  0.202E-02
  1999  0.506E-02  0.712E-02  0.648E-02  0.494E-02  0.195E-02  0.111E-02  0.107E-02  0.106E-02  0.261E-02  0.313E-02
  2000  0.155E-01  0.163E-01  0.974E-02  0.501E-02  0.566E-02  0.346E-02  0.134E-02  0.183E-02  0.162E-02  0.194E-02
  2001  0.497E-03  0.251E-01  0.106E-01  0.789E-02  0.453E-02  0.335E-02  0.566E-02  0.317E-02  0.329E-02  0.395E-02
  2002  0.214E-02  0.393E-01  0.330E-01  0.104E-01  0.437E-02  0.520E-02  0.246E-02  0.397E-02  0.387E-02  0.464E-02
  2003  0.216E-02  0.173E-01  0.138E-01  0.132E-01  0.124E-01  0.481E-02  0.109E-01  0.605E-02  0.729E-02  0.875E-02
  2004  0.557E-02  0.330E-01  0.366E-01  0.109E-01  0.682E-02  0.100E-01  0.825E-02  0.719E-02  0.114E-01  0.137E-01
  2005  0.334E-01  0.320E-01  0.319E-01  0.280E-01  0.116E-01  0.137E-01  0.100E-01  0.493E-02  0.217E-01  0.260E-01
  2006  0.456E-01  0.560E-01  0.574E-01  0.260E-01  0.986E-02  0.247E-01  0.104E-01  0.893E-02  0.303E-01  0.363E-01
  2007  0.170E-02  0.856E-01  0.594E-01  0.855E-01  0.367E-01  0.289E-01  0.393E-01  0.375E-01  0.613E-01  0.735E-01
  2008  0.152E-02  0.648E-01  0.433E-01  0.826E-01  0.401E-01  0.263E-01  0.258E-01  0.281E-01  0.320E-01  0.384E-01
