Species,Habitat,M,Sex,T,L,Linf,k,Reference
Lutjanus ruselli,Demersal,0.15,C,26.9,36.4,38.6,0.35,Newman(2002)
Lutjanus sebae,Demersal,0.15,C,25.7,56.1,79.2,0.14,Newman et al.(2000b)
Lutjanus vitta,Demersal,0.34,C,25.7,22.6,24.5,0.85,Newman et al.(2000a)
Melanogrammus aeglefinus,Demersal,0.43,C,8,33.3,68,0.2,Jones & Shanks(1990)
Merluccius angustimanus,Demersal,0.79,C,20,25.2,32.7,0.35,Mathews(1975)
Merluccius angustimanus,Demersal,0.84,C,20,18.1,32.7,0.35,Mathews(1975)
Nemipterus japonicus,Demersal,2.52,C,27,16,30.5,1,Vivekanandan & James(1986)
Nemipterus marginatus,Demersal,1.73,C,28,15.1,24.5,0.42,Pauly & Martosubroto(1980)
Pagrus auratus,Demersal,2.58,C,24,10.5,107.9,0.07,Wakefield et al.(2007)
Pleuronectes platessa,Demersal,0.2,C,12,42.5,68,0.13,Siddeek(1989)
Pleuronectes platessa,Demersal,0.14,M,7,31.2,45,0.15,Beverton(1964)
Pleuronectes platessa,Demersal,0.08,F,7,40.5,70,0.08,Beverton(1964)
Pneumatophorus japonicus,Pelagic,0.5,C,15,36.7,43.6,0.24,Parrish & MacCall(1978)
Pomatoschistus minutus,Demersal,2.61,C,10,4.5,9.3,0.93,Fonds(1973)
Pomatoschistus minutus,Demersal,4.04,C,10,7,9.3,0.93,Fonds(1973)
Pseudotolithus elongatus,Demersal,0.34,C,26,31.5,46.7,0.26,Le Guen(1971)
Rastrelliger neglectus,Pelagic,7.22,C,28,17.6,20.9,3.38,Hongskul(1974)
Rhizoprionodon taylori,Demersal,0.7,M,25,60,65.2,1.34,Simpendorfer(1999)
Rhizoprionodon taylori,Demersal,0.56,F,25,64,73.2,1.01,Simpendorfer(1999)
Sardinella longiceps,Pelagic,0.67,C,27,14.5,20.7,0.53,Banerji(1973)
Sardinops caerulea,Pelagic,0.4,C,15,26.9,29.3,0.45,Beverton(1963)
Sardinops sagax,Pelagic,0.13,C,15,26.7,30.5,0.4,Silliman(1943)
Sardinops sagax,Pelagic,0.43,C,15,15.5,17,0.7,Fletcher(1995)
Sebastes alutus,Demersal,0.04,C,8,41.5,42.6,0.13,Archibald et al.(1981)
Sebastes brevispinis,Demersal,0.04,C,8,53.7,56.8,0.09,Archibald et al.(1981)
Sebastes crameri,Demersal,0.07,C,8,33.5,38.3,0.09,Archibald et al.(1981)
Sebastes elongatus,Demersal,0.15,M,12,29,30.1,0.11,Shaw & Gunderson(2006)
Sebastes elongatus,Demersal,0.15,F,12,34.5,37.5,0.08,Shaw & Gunderson(2006)
Sebastes emphaeus,Demersal,0.44,F,12,15.7,17.1,0.54,Beckmann et al.(1998)
Sebastes flavidus,Demersal,0.07,C,8,48,48.6,0.19,Archibald et al.(1981)
Sebastes pinniger,Demersal,0.04,M,8,50.7,52.8,0.14,Archibald et al.(1981)
Sebastes pinniger,Demersal,0.11,F,8,54.2,62.1,0.1,Archibald et al.(1981)
Sebastes prioriger,Demersal,0.1,C,8,36.5,39.3,0.17,Archibald et al.(1981)
Sebastes reedi,Demersal,0.12,C,8,42.5,44.5,0.13,Archibald et al.(1981)
Sebastes zacentrus,Demersal,0.07,C,8,31.3,34.9,0.1,Archibald et al.(1981)
Serranus cabrilla,Demersal,0.68,C,17,18.5,23.8,0.3,Macpherson et al.(2000)
Sparisoma viride,Demersal,0.24,C,27.5,18.7,28.1,0.6,Choat et al.(2003)
Symphodus roissali,Demersal,1.71,C,17,9,16.5,0.35,Macpherson et al.(2000)
Thunnus alalunga,Pelagic,0.19,C,25,77.4,124.7,0.23,Wang & Liu(2006)
Thunnus albacares,Pelagic,6.2,C,25,25,166.4,0.25,Hampton(2000)
Thunnus albacares,Pelagic,3.6,C,25,35,166.4,0.25,Hampton(2000)
Thunnus albacares,Pelagic,1.4,C,25,45,166.4,0.25,Hampton(2000)
Thunnus albacares,Pelagic,0.68,C,25,55,166.4,0.25,Hampton(2000)
Thunnus albacares,Pelagic,0.44,C,25,65,166.4,0.25,Hampton(2000)
Thunnus albacares,Pelagic,0.69,C,25,75,166.4,0.25,Hampton(2000)
Thunnus albacares,Pelagic,1.8,C,25,85,166.4,0.25,Hampton(2000)
Thunnus albacares,Pelagic,2.1,C,25,95,166.4,0.25,Hampton(2000)
Thunnus albacares,Pelagic,5.22,C,25,32.5,181.7,0.25,Adam et al.(2003)
Thunnus albacares,Pelagic,0.8,C,25,50.5,181.7,0.25,Adam et al.(2003)
Thunnus albacares,Pelagic,1.31,C,25,98,181.7,0.25,Adam et al.(2003)
Thunnus maccoyii,Pelagic,0.24,C,26,95.1,186.9,0.14,Hampton(1991)
Thunnus obesus,Pelagic,4.2,C,25,30,181.7,0.25,Hampton(2000)
Thunnus obesus,Pelagic,0.5,C,25,50,181.7,0.25,Hampton(2000)
Thunnus obesus,Pelagic,0.8,C,25,70,181.7,0.25,Hampton(2000)
Thunnus obesus,Pelagic,0.1,C,25,90,181.7,0.25,Hampton(2000)
Thunnus obesus,Pelagic,0.9,C,25,110,181.7,0.25,Hampton(2000)
Thunnus obesus,Pelagic,2.12,C,25,42,181.7,0.25,Adam et al.(2003)
Thunnus obesus,Pelagic,1.35,C,25,63,181.7,0.25,Adam et al.(2003)
Thunnus obesus,Pelagic,0.66,C,25,102,181.7,0.25,Adam et al.(2003)
Trachurus declivis,Pelagic,0.18,C,12,50.4,51.1,0.25,Horn(1993)
Trachurus novaezelandiae,Pelagic,0.18,C,12,35.8,38.5,0.23,Horn(1993)
Trisopterus esmarkii,Demersal,1.6,C,9,14,19.3,0.59,Raitt(1968)
Trisopterus esmarkii,Demersal,1.6,C,9,14,19,0.44,Raitt(1968)
Trisopterus esmarkii,Demersal,1.48,C,8.5,18.6,21.5,0.45,Bailey & Kunzlik(1984)
Trisopterus esmarkii,Demersal,1.5,C,9,19.5,21.6,0.53,Bailey & Kunzlik(1984)
Trisopterus esmarkii,Demersal,2.43,C,9,23,26.4,0.61,Bailey & Kunzlik(1984)
