 RUN #    SR_TYPE         PARM 1       PARM 2    STD. DEV.       RHO   
  163             1   2169733.0400         0.5000         0.4967         0.0000
  164             1   2169733.0400         0.5000         0.4967         0.0000
  165             1   2169733.0400         0.5000         0.4967         0.0000
  166             1   2169733.0400         0.5000         0.4967         0.0000
  167             1   2169733.0400         0.5000         0.4967         0.0000
  168             1   2169733.0400         0.5000         0.4967         0.0000
  169             1   2169733.0400         0.5000         0.4967         0.0000
  170             1   2169733.0400         0.5000         0.4967         0.0000
  171             1   2169733.0400         0.5000         0.4967         0.0000
  172             1   2169733.0400         0.5000         0.4967         0.0000
  173             1   2169733.0400         0.5000         0.4967         0.0000
  174             1   2169733.0400         0.5000         0.4967         0.0000
  175             1   2169733.0400         0.5000         0.4967         0.0000
  176             1   2169733.0400         0.5000         0.4967         0.0000
  177             1   2169733.0400         0.5000         0.4967         0.0000
  178             1   2169733.0400         0.5000         0.4967         0.0000
  179             1   2169733.0400         0.5000         0.4967         0.0000
  180             1   2169733.0400         0.5000         0.4967         0.0000
  181             1   2169733.0400         0.5000         0.4967         0.0000
  182             1   2169733.0400         0.5000         0.4967         0.0000
  183             1   2169733.0400         0.5000         0.4967         0.0000
  184             1   2169733.0400         0.5000         0.4967         0.0000
  185             1   2169733.0400         0.5000         0.4967         0.0000
  186             1   2169733.0400         0.5000         0.4967         0.0000
  187             1   2169733.0400         0.5000         0.4967         0.0000
  188             1   2169733.0400         0.5000         0.4967         0.0000
  189             1   2169733.0400         0.5000         0.4967         0.0000
  190             1   2169733.0400         0.5000         0.4967         0.0000
  191             1   2169733.0400         0.5000         0.4967         0.0000
  192             1   2169733.0400         0.5000         0.4967         0.0000
  193             1   2169733.0400         0.5000         0.4967         0.0000
  194             1   2169733.0400         0.5000         0.4967         0.0000
  195             1   2169733.0400         0.5000         0.4967         0.0000
  196             1   2169733.0400         0.5000         0.4967         0.0000
  197             1   2169733.0400         0.5000         0.4967         0.0000
  198             1   2169733.0400         0.5000         0.4967         0.0000
  199             1   2169733.0400         0.5000         0.4967         0.0000
  200             1   2169733.0400         0.5000         0.4967         0.0000
  201             1   2169733.0400         0.5000         0.4967         0.0000
  202             1   2169733.0400         0.5000         0.4967         0.0000
  203             1   2169733.0400         0.5000         0.4967         0.0000
  204             1   2169733.0400         0.5000         0.4967         0.0000
  205             1   2169733.0400         0.5000         0.4967         0.0000
  206             1   2169733.0400         0.5000         0.4967         0.0000
  207             1   2169733.0400         0.5000         0.4967         0.0000
  208             1   2169733.0400         0.5000         0.4967         0.0000
  209             1   2169733.0400         0.5000         0.4967         0.0000
  210             1   2169733.0400         0.5000         0.4967         0.0000
  211             1   2169733.0400         0.5000         0.4967         0.0000
  212             1   2169733.0400         0.5000         0.4967         0.0000
  213             1   2169733.0400         0.5000         0.4967         0.0000
  214             1   2169733.0400         0.5000         0.4967         0.0000
  215             1   2169733.0400         0.5000         0.4967         0.0000
  216             1   2169733.0400         0.5000         0.4967         0.0000
  217             1   2169733.0400         0.5000         0.4967         0.0000
  218             1   2169733.0400         0.5000         0.4967         0.0000
  219             1   2169733.0400         0.5000         0.4967         0.0000
  220             1   2169733.0400         0.5000         0.4967         0.0000
  221             1   2169733.0400         0.5000         0.4967         0.0000
  222             1   2169733.0400         0.5000         0.4967         0.0000
  223             1   2169733.0400         0.5000         0.4967         0.0000
  224             1   2169733.0400         0.5000         0.4967         0.0000
  225             1   2169733.0400         0.5000         0.4967         0.0000
  226             1   2169733.0400         0.5000         0.4967         0.0000
  227             1   2169733.0400         0.5000         0.4967         0.0000
  228             1   2169733.0400         0.5000         0.4967         0.0000
  229             1   2169733.0400         0.5000         0.4967         0.0000
  230             1   2169733.0400         0.5000         0.4967         0.0000
  231             1   2169733.0400         0.5000         0.4967         0.0000
  232             1   2169733.0400         0.5000         0.4967         0.0000
  233             1   2169733.0400         0.5000         0.4967         0.0000
  234             1   2169733.0400         0.5000         0.4967         0.0000
  235             1   2169733.0400         0.5000         0.4967         0.0000
  236             1   2169733.0400         0.5000         0.4967         0.0000
  237             1   2169733.0400         0.5000         0.4967         0.0000
  238             1   2169733.0400         0.5000         0.4967         0.0000
  239             1   2169733.0400         0.5000         0.4967         0.0000
  240             1   2169733.0400         0.5000         0.4967         0.0000
  241             1   2169733.0400         0.5000         0.4967         0.0000
  242             1   2169733.0400         0.5000         0.4967         0.0000
  243             1   2169733.0400         0.5000         0.4967         0.0000
  244             1   2169733.0400         0.5000         0.4967         0.0000
  245             1   2169733.0400         0.5000         0.4967         0.0000
  246             1   2169733.0400         0.5000         0.4967         0.0000
  247             1   2169733.0400         0.5000         0.4967         0.0000
  248             1   2169733.0400         0.5000         0.4967         0.0000
  249             1   2169733.0400         0.5000         0.4967         0.0000
  250             1   2169733.0400         0.5000         0.4967         0.0000
  251             1   2169733.0400         0.5000         0.4967         0.0000
  252             1   2169733.0400         0.5000         0.4967         0.0000
  253             1   2169733.0400         0.5000         0.4967         0.0000
  254             1   2169733.0400         0.5000         0.4967         0.0000
  255             1   2169733.0400         0.5000         0.4967         0.0000
  256             1   2169733.0400         0.5000         0.4967         0.0000
  257             1   2169733.0400         0.5000         0.4967         0.0000
  258             1   2169733.0400         0.5000         0.4967         0.0000
  259             1   2169733.0400         0.5000         0.4967         0.0000
  260             1   2169733.0400         0.5000         0.4967         0.0000
  261             1   2169733.0400         0.5000         0.4967         0.0000
  262             1   2169733.0400         0.5000         0.4967         0.0000
  263             1   2169733.0400         0.5000         0.4967         0.0000
  264             1   2169733.0400         0.5000         0.4967         0.0000
  265             1   2169733.0400         0.5000         0.4967         0.0000
  266             1   2169733.0400         0.5000         0.4967         0.0000
  267             1   2169733.0400         0.5000         0.4967         0.0000
  268             1   2169733.0400         0.5000         0.4967         0.0000
  269             1   2169733.0400         0.5000         0.4967         0.0000
  270             1   2169733.0400         0.5000         0.4967         0.0000
  271             1   2169733.0400         0.5000         0.4967         0.0000
  272             1   2169733.0400         0.5000         0.4967         0.0000
  273             1   2169733.0400         0.5000         0.4967         0.0000
  274             1   2169733.0400         0.5000         0.4967         0.0000
  275             1   2169733.0400         0.5000         0.4967         0.0000
  276             1   2169733.0400         0.5000         0.4967         0.0000
  277             1   2169733.0400         0.5000         0.4967         0.0000
  278             1   2169733.0400         0.5000         0.4967         0.0000
  279             1   2169733.0400         0.5000         0.4967         0.0000
  280             1   2169733.0400         0.5000         0.4967         0.0000
  281             1   2169733.0400         0.5000         0.4967         0.0000
  282             1   2169733.0400         0.5000         0.4967         0.0000
  283             1   2169733.0400         0.5000         0.4967         0.0000
  284             1   2169733.0400         0.5000         0.4967         0.0000
  285             1   2169733.0400         0.5000         0.4967         0.0000
  286             1   2169733.0400         0.5000         0.4967         0.0000
  287             1   2169733.0400         0.5000         0.4967         0.0000
  288             1   2169733.0400         0.5000         0.4967         0.0000
  289             1   2169733.0400         0.5000         0.4967         0.0000
  290             1   2169733.0400         0.5000         0.4967         0.0000
  291             1   2169733.0400         0.5000         0.4967         0.0000
  292             1   2169733.0400         0.5000         0.4967         0.0000
  293             1   2169733.0400         0.5000         0.4967         0.0000
  294             1   2169733.0400         0.5000         0.4967         0.0000
  295             1   2169733.0400         0.5000         0.4967         0.0000
  296             1   2169733.0400         0.5000         0.4967         0.0000
  297             1   2169733.0400         0.5000         0.4967         0.0000
  298             1   2169733.0400         0.5000         0.4967         0.0000
  299             1   2169733.0400         0.5000         0.4967         0.0000
  300             1   2169733.0400         0.5000         0.4967         0.0000
  301             1   2169733.0400         0.5000         0.4967         0.0000
  302             1   2169733.0400         0.5000         0.4967         0.0000
  303             1   2169733.0400         0.5000         0.4967         0.0000
  304             1   2169733.0400         0.5000         0.4967         0.0000
  305             1   2169733.0400         0.5000         0.4967         0.0000
  306             1   2169733.0400         0.5000         0.4967         0.0000
  307             1   2169733.0400         0.5000         0.4967         0.0000
  308             1   2169733.0400         0.5000         0.4967         0.0000
